specimen_number,web_link,author_name_1,author_name_2,specimen_name,cross_section_type,loading_condition,t,D,r,B,d,L,n,fy,Pt
1,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-7-30-ETF-a,C,ETF,1.45,121,7,45.8,27.3,610,30,332,3.84
2,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-7-30-ETF-b,C,ETF,1.45,121,7,46,27.5,610,30,332,3.84
3,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-7-60-ETF-a,C,ETF,1.45,121,7,45.8,27.3,610,63.5,332,4.74
4,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-7-60-ETF-b,C,ETF,1.45,121,7,46,27.5,610,63.5,332,4.74
5,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-10-30-ETF-a,C,ETF,1.45,120,10,45.6,29,610,30,332,3.75
6,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-10-30-ETF-b,C,ETF,1.45,120,10,45.3,29.3,610,30,332,3.75
7,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-10-60-ETF-a,C,ETF,1.45,120,10,45.6,29,610,63.5,332,4.17
8,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-10-60-ETF-b,C,ETF,1.45,120,10,45.3,29.3,610,63.5,332,4.17
9,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-14-100-ETF A-a,C,ETF,1.45,118,14,51.3,28.2,610,101,332,4.77
10,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-14-100-ETF A-b,C,ETF,1.45,118,14,51.4,28,610,101,332,4.77
11,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-14-100-ETF B-a,C,ETF,1.45,118,14,51.3,28.2,610,101,332,4.68
12,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-14-100-ETF B-b,C,ETF,1.45,118,14,51.4,28,610,101,332,4.68
13,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-7-30-ETF-a,C,ETF,1.16,200,7,51.9,32.4,1220,30,328,2.07
14,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-7-30-ETF-b,C,ETF,1.16,200,7,51.4,33,1220,30,328,2.07
15,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-7-60-ETF-a,C,ETF,1.16,200,7,51.9,32.4,1220,63.5,328,2.46
16,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-7-60-ETF-b,C,ETF,1.16,200,7,51.4,33,1220,63.5,328,2.46
17,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-30-ETF-a,C,ETF,1.16,200,10,56.1,31.6,1220,30,328,2.01
18,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-30-ETF-b,C,ETF,1.16,200,10,56.7,31.4,1220,30,328,2.01
19,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-60-ETF-a,C,ETF,1.16,200,10,56.1,31.6,1220,63.5,328,2.19
20,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-60-ETF-b,C,ETF,1.16,200,10,56.7,31.4,1220,63.5,328,2.19
21,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-30-ETF-a,C,ETF,1.16,200,14,61,27.9,1220,30,328,1.95
22,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-30-ETF-b,C,ETF,1.16,200,14,61.1,28.3,1220,30,328,1.95
23,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-60-ETF-a,C,ETF,1.16,200,14,61,27.9,1220,63.5,328,2.13
24,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-60-ETF-b,C,ETF,1.16,200,14,61.1,28.3,1220,63.5,328,2.13
25,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-30-ETF-a,C,ETF,1.45,300,7,46.8,16.3,1500,30,448,2.85
26,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-30-ETF-b,C,ETF,1.45,300,7,46.7,17,1500,30,448,2.85
27,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-60-ETF-a,C,ETF,1.45,300,7,46.8,16.3,1500,63.5,448,3.27
28,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-60-ETF-b,C,ETF,1.45,300,7,46.7,17,1500,63.5,448,3.27
29,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-30-ETF-a,C,ETF,1.45,300,10,45.7,20.5,1500,30,448,2.76
30,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-30-ETF-b,C,ETF,1.45,300,10,47,19.9,1500,30,448,2.76
31,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-60-ETF-a,C,ETF,1.45,300,10,45.7,20.5,1500,63.5,448,3.06
32,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-60-ETF-b,C,ETF,1.45,300,10,47,19.9,1500,63.5,448,3.06
33,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-30-ETF-a,C,ETF,1.45,299,14,51.5,18.6,1500,30,448,2.67
34,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-30-ETF-b,C,ETF,1.45,299,14,51.9,19.3,1500,30,448,2.67
35,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-60-ETF-a,C,ETF,1.45,299,14,51.5,18.6,1500,63.5,448,2.91
36,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-60-ETF-b,C,ETF,1.45,299,14,51.9,19.3,1500,63.5,448,2.91
1,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-7-30-ITF-a,C,ITF,1.45,121,7,45.9,27.6,610,30,332,10.7
2,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-7-30-ITF-b,C,ITF,1.45,121,7,45.8,27.3,,30,332,10.7
3,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-7-60-ITF-a,C,ITF,1.45,121,7,45.8,27.5,610,63.5,332,11.8
4,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-7-60-ITF-b,C,ITF,1.45,121,7,46,27.4,,63.5,332,11.8
5,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-10-30-ITF-a,C,ITF,1.45,121,10,45.2,30.4,610,30,332,9.96
6,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-10-30-ITF-b,C,ITF,1.45,121,10,45.6,29,,30,332,9.96
7,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-10-60-ITF-a,C,ITF,1.45,121,10,45.1,30.1,610,63.5,332,11
8,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-10-60-ITF-b,C,ITF,1.45,121,10,45.1,30.1,,63.5,332,11
9,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-14-30-ITF-a,C,ITF,1.45,118,14,51.2,28.2,610,30,332,9.06
10,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-14-30-ITF-b,C,ITF,1.45,118,14,51.6,28.2,,30,332,9.06
11,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-14-60-ITF-a,C,ITF,1.45,118,14,51.4,28.4,610,63.5,332,10.1
12,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-120-14-60-ITF-b,C,ITF,1.45,118,14,51.3,28.3,,63.5,332,10.1
13,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-7-30-ITF-a,C,ITF,1.16,200,7,51,32.4,1220,30,328,7.2
14,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-7-30-ITF-b,C,ITF,1.16,200,7,50.6,32.2,1220,30,328,7.2
15,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-7-60-ITF-a,C,ITF,1.16,200,7,50.4,32.2,1220,63.5,328,7.56
16,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-7-60-ITF-b,C,ITF,1.16,200,7,50.9,32.4,1220,63.5,328,7.56
17,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-30-ITF-a,C,ITF,1.16,199,10,56.3,31.3,1220,30,328,6.57
18,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-30-ITF-b,C,ITF,1.16,199,10,56.2,32,1220,30,328,6.57
19,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-60-ITF-a,C,ITF,1.16,200,10,56.6,31,1220,63.5,328,7.08
20,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-10-60-ITF-b,C,ITF,1.16,200,10,56.7,31.3,1220,63.5,328,7.08
21,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-60-ITF-a,C,ITF,1.16,201,14,61,27.9,1220,63.5,328,6.72
22,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-60-ITF-b,C,ITF,1.16,201,14,61.1,28.4,1220,63.5,328,6.72
23,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-100-ITF-a,C,ITF,1.16,201,14,60.2,27.8,1220,101,328,7.08
24,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-200-14-100-ITF-b,C,ITF,1.16,201,14,60.6,28.3,1220,101,328,7.08
25,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-30-ITF-a,C,ITF,1.45,300,7,45.3,16.3,1500,30,448,11
26,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-30-ITF-b,C,ITF,1.45,300,7,46.1,17,1500,30,448,11
27,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-60-ITF-a,C,ITF,1.45,300,7,46.8,15.9,1500,63.5,448,11.6
28,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-7-60-ITF-b,C,ITF,1.45,300,7,46.8,15.8,1500,63.5,448,11.6
29,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-30-ITF-a,C,ITF,1.45,299,10,45.4,17.4,1500,30,448,9.99
30,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-30-ITF-b,C,ITF,1.45,299,10,46.7,18.6,1500,30,448,9.99
31,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-60-ITF-a,C,ITF,1.45,300,10,48.7,19.4,1500,63.5,448,10.9
32,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-10-60-ITF-b,C,ITF,1.45,300,10,48.6,19.1,1500,63.5,448,10.9
33,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-60-ITF-a,C,ITF,1.45,300,14,51.7,18.5,1500,63.5,448,11.3
34,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-60-ITF-b,C,ITF,1.45,300,14,51.8,18.6,1500,63.5,448,11.3
35,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-100-ITF-a,C,ITF,1.45,300,14,50.9,19.6,1500,101,448,10.6
