specimen_number,web_link,author_name_1,author_name_2,specimen_name,cross_section_type,loading_condition,t,D,r,B,d,L,n,fy,Pt
36,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,C-300-14-100-ITF-b,C,ITF,1.45,300,14,50.8,18.9,1500,101,448,10.6
1,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-30-ETF-a,Z,ETF,1.45,120,7,45.8,28,610,30,332,5.43
2,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-30-ETF-b,Z,ETF,1.45,120,7,45.8,27.4,610,30,332,5.43
3,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-60-ETF-a,Z,ETF,1.45,120,7,45.8,28,610,63.5,332,6.18
4,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-60-ETF-b,Z,ETF,1.45,120,7,45.8,27.4,610,63.5,332,6.18
5,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-30-ETF-a,Z,ETF,1.45,120,10,45.4,30.1,610,30,332,5.31
6,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-30-ETF-b,Z,ETF,1.45,120,10,45.9,29.2,610,30,332,5.31
7,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-60-ETF-a,Z,ETF,1.45,120,10,45.4,30.1,610,63.5,332,6.09
8,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-60-ETF-b,Z,ETF,1.45,120,10,45.9,29.2,610,63.5,332,6.09
9,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ETF-a,Z,ETF,1.45,120,14,51.4,29.5,610,30,332,5.25
10,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ETF-b,Z,ETF,1.45,120,14,51,28.3,610,30,332,5.25
11,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ETF-a,Z,ETF,1.45,120,14,51.4,29.5,610,63.5,332,5.85
12,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ETF-b,Z,ETF,1.45,120,14,51,28.3,610,63.5,332,5.85
13,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-30-ETF-a,Z,ETF,1.16,200,7,50.7,32.6,1220,30,323,2.73
14,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-30-ETF-b,Z,ETF,1.16,200,7,50.2,32.7,1220,30,323,2.73
15,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-60-ETF-a,Z,ETF,1.16,200,7,50.7,32.6,1220,63.5,323,2.88
16,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-60-ETF-b,Z,ETF,1.16,200,7,50.2,32.7,1220,63.5,323,2.88
17,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-30-ETF-a,Z,ETF,1.16,200,10,56.5,31.3,1220,30,323,2.64
18,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-30-ETF-b,Z,ETF,1.16,200,10,56.2,30.2,1220,30,323,2.64
19,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-60-ETF-a,Z,ETF,1.16,200,10,56.5,31.3,1220,63.5,323,2.67
20,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-60-ETF-b,Z,ETF,1.16,200,10,56.2,30.2,1220,63.5,323,2.67
21,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-30-ETF-a,Z,ETF,1.16,203,14,60.7,28.1,1220,30,323,2.64
22,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-30-ETF-b,Z,ETF,1.16,203,14,60.8,29.6,1220,30,323,2.64
23,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-60-ETF-a,Z,ETF,1.16,203,14,60.7,28.1,1220,30,323,2.58
24,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-60-ETF-b,Z,ETF,1.16,203,14,60.8,29.6,1220,30,323,2.58
25,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-30-ETF-a,Z,ETF,1.45,300,7,44.8,16.5,1500,30,446,3.36
26,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-30-ETF-b,Z,ETF,1.45,300,7,45.2,16.8,1500,30,446,3.36
27,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-60-ETF-a,Z,ETF,1.45,300,7,44.8,16.5,1500,63.5,446,3.78
28,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-60-ETF-b,Z,ETF,1.45,300,7,45.2,16.8,1500,63.5,446,3.78
29,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-30-ETF-a,Z,ETF,1.45,300,10,46.7,19.3,1500,30,446,3.3
30,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-30-ETF-b,Z,ETF,1.45,300,10,46.5,19.4,1500,30,446,3.3
31,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-60-ETF-a,Z,ETF,1.45,300,10,46.7,19.3,1500,63.5,446,3.69
32,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-60-ETF-b,Z,ETF,1.45,300,10,46.5,19.4,1500,63.5,446,3.69
33,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-30-ETF-a,Z,ETF,1.45,300,14,50.1,18.8,1500,30,446,3.36
34,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-30-ETF-b,Z,ETF,1.45,300,14,50.1,18.6,1500,30,446,3.36
35,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-60-ETF-a,Z,ETF,1.45,300,14,50.1,18.8,1500,63.5,446,3.66
36,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-60-ETF-b,Z,ETF,1.45,300,14,50.1,18.6,1500,63.5,446,3.66
1,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-30-ITF-a,Z,ITF,1.45,120,7,45.5,28,610,30,332,11.7
2,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-30-ITF-b,Z,ITF,1.45,120,7,44.4,27.5,610,30,332,11.7
3,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-60-ITF-a,Z,ITF,1.45,120,7,45.3,27.5,610,63.5,332,13.1
4,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-7-60-ITF-b,Z,ITF,1.45,120,7,45,28.2,610,63.5,332,13.1
5,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-30-ITF-a,Z,ITF,1.45,122,10,45.5,31.3,610,30,332,11.6
6,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-30-ITF-b,Z,ITF,1.45,122,10,44.4,30.7,610,30,332,11.6
7,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-60-ITF-a,Z,ITF,1.45,123,10,44.7,31.5,610,63.5,332,12.6
8,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-10-60-ITF-b,Z,ITF,1.45,123,10,44.7,30.9,610,63.5,332,12.6
9,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ITF-a,Z,ITF,1.45,120,14,51,28.1,610,30,332,11.3
10,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-30-ITF-b,Z,ITF,1.45,120,14,51.2,29.1,610,30,332,11.3
11,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-60-ITF-a,Z,ITF,1.45,120,14,52.2,28.5,610,63.5,426,15.1
12,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-120-14-60-ITF-b,Z,ITF,1.45,120,14,52.1,28.2,610,63.5,426,15.1
13,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-30-ITF-a,Z,ITF,1.16,200,7,50.5,32.9,1220,30,323,7.83
14,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-30-ITF-b,Z,ITF,1.16,200,7,50,32.3,1220,30,323,7.83
15,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-60-ITF-a,Z,ITF,1.16,200,7,50.5,33.2,1220,63.5,323,8.16
16,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-7-60-ITF-b,Z,ITF,1.16,200,7,50.5,32.7,1220,63.5,323,8.16
17,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-30-ITF-a,Z,ITF,1.16,198,10,54.5,31.6,1220,30,323,7.65
18,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-30-ITF-b,Z,ITF,1.16,198,10,55,30.5,1220,30,323,7.65
19,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-60-ITF-a,Z,ITF,1.16,197,10,55.1,30.9,1220,63.5,323,7.86
20,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-10-60-ITF-b,Z,ITF,1.16,197,10,55.2,31.3,1220,63.5,323,7.86
21,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-30-ITF-a,Z,ITF,1.16,200,14,59.2,29.8,1220,30,323,6.93
22,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-30-ITF-b,Z,ITF,1.16,200,14,60,28.4,1220,30,323,6.93
23,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-60-ITF-a,Z,ITF,1.16,203,14,60.3,29.8,1220,63.5,323,7.65
24,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-200-14-60-ITF-b,Z,ITF,1.16,203,14,60.1,29.1,1220,63.5,323,7.65
25,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-30-ITF-a,Z,ITF,1.45,300,7,45.3,17.3,1500,30,448,10.3
26,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-30-ITF-b,Z,ITF,1.45,300,7,45.4,17.3,1500,30,448,10.3
27,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-60-ITF-a,Z,ITF,1.45,300,7,44.4,16.5,1500,63.5,448,10.8
28,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-7-60-ITF-b,Z,ITF,1.45,300,7,44.7,16.6,1500,63.5,448,10.8
29,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-30-ITF-a,Z,ITF,1.45,300,10,46,19.2,1500,30,448,9.48
30,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-30-ITF-b,Z,ITF,1.45,300,10,46.1,19.7,1500,30,448,9.48
31,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-60-ITF-a,Z,ITF,1.45,300,10,46.5,19.4,1500,63.5,448,9.78
32,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-10-60-ITF-b,Z,ITF,1.45,300,10,46.1,19.4,1500,63.5,448,9.78
33,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-30-ITF-a,Z,ITF,1.45,300,14,49.9,19.4,1500,30,448,8.88
34,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-30-ITF-b,Z,ITF,1.45,300,14,49.6,18.7,1500,30,448,8.88
35,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-60-ITF-a,Z,ITF,1.45,300,14,50.1,18.8,1500,63.5,448,9.99
36,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1009&context=ccfss-aisi-spec,Beshara,Schuster,Z-300-14-60-ITF-b,Z,ITF,1.45,300,14,50.1,18.6,1500,63.5,448,9.99